id,question_url,exam_year
5,https://myschool.ng/classroom/mathematics/22603?exam_type=waec&exam_year=1990&type=obj&page=1,WAEC 1990
26,https://myschool.ng/classroom/mathematics/22667?exam_type=waec&exam_year=1990&type=obj&page=6,WAEC 1990
27,https://myschool.ng/classroom/mathematics/22668?exam_type=waec&exam_year=1990&type=obj&page=6,WAEC 1990
28,https://myschool.ng/classroom/mathematics/22670?exam_type=waec&exam_year=1990&type=obj&page=6,WAEC 1990
29,https://myschool.ng/classroom/mathematics/22672?exam_type=waec&exam_year=1990&type=obj&page=6,WAEC 1990
30,https://myschool.ng/classroom/mathematics/22674?exam_type=waec&exam_year=1990&type=obj&page=6,WAEC 1990
31,https://myschool.ng/classroom/mathematics/22675?exam_type=waec&exam_year=1990&type=obj&page=7,WAEC 1990
32,https://myschool.ng/classroom/mathematics/22676?exam_type=waec&exam_year=1990&type=obj&page=7,WAEC 1990
33,https://myschool.ng/classroom/mathematics/22678?exam_type=waec&exam_year=1990&type=obj&page=7,WAEC 1990
34,https://myschool.ng/classroom/mathematics/22683?exam_type=waec&exam_year=1990&type=obj&page=7,WAEC 1990
35,https://myschool.ng/classroom/mathematics/22685?exam_type=waec&exam_year=1990&type=obj&page=7,WAEC 1990
6,https://myschool.ng/classroom/mathematics/22604?exam_type=waec&exam_year=1990&type=obj&page=2,WAEC 1990
7,https://myschool.ng/classroom/mathematics/22605?exam_type=waec&exam_year=1990&type=obj&page=2,WAEC 1990
8,https://myschool.ng/classroom/mathematics/22606?exam_type=waec&exam_year=1990&type=obj&page=2,WAEC 1990
9,https://myschool.ng/classroom/mathematics/22607?exam_type=waec&exam_year=1990&type=obj&page=2,WAEC 1990
10,https://myschool.ng/classroom/mathematics/22641?exam_type=waec&exam_year=1990&type=obj&page=2,WAEC 1990
21,https://myschool.ng/classroom/mathematics/22657?exam_type=waec&exam_year=1990&type=obj&page=5,WAEC 1990
22,https://myschool.ng/classroom/mathematics/22660?exam_type=waec&exam_year=1990&type=obj&page=5,WAEC 1990
23,https://myschool.ng/classroom/mathematics/22661?exam_type=waec&exam_year=1990&type=obj&page=5,WAEC 1990
24,https://myschool.ng/classroom/mathematics/22664?exam_type=waec&exam_year=1990&type=obj&page=5,WAEC 1990
25,https://myschool.ng/classroom/mathematics/22665?exam_type=waec&exam_year=1990&type=obj&page=5,WAEC 1990
26,https://myschool.ng/classroom/mathematics/22921?exam_type=waec&exam_year=1991&type=obj&page=6,WAEC 1991
27,https://myschool.ng/classroom/mathematics/22923?exam_type=waec&exam_year=1991&type=obj&page=6,WAEC 1991
28,https://myschool.ng/classroom/mathematics/22924?exam_type=waec&exam_year=1991&type=obj&page=6,WAEC 1991
29,https://myschool.ng/classroom/mathematics/22925?exam_type=waec&exam_year=1991&type=obj&page=6,WAEC 1991
30,https://myschool.ng/classroom/mathematics/22926?exam_type=waec&exam_year=1991&type=obj&page=6,WAEC 1991
6,https://myschool.ng/classroom/mathematics/22869?exam_type=waec&exam_year=1991&type=obj&page=2,WAEC 1991
7,https://myschool.ng/classroom/mathematics/22870?exam_type=waec&exam_year=1991&type=obj&page=2,WAEC 1991
8,https://myschool.ng/classroom/mathematics/22871?exam_type=waec&exam_year=1991&type=obj&page=2,WAEC 1991
9,https://myschool.ng/classroom/mathematics/22872?exam_type=waec&exam_year=1991&type=obj&page=2,WAEC 1991
10,https://myschool.ng/classroom/mathematics/22873?exam_type=waec&exam_year=1991&type=obj&page=2,WAEC 1991
41,https://myschool.ng/classroom/mathematics/23107?exam_type=waec&exam_year=1991&type=obj&page=9,WAEC 1991
42,https://myschool.ng/classroom/mathematics/23108?exam_type=waec&exam_year=1991&type=obj&page=9,WAEC 1991
43,https://myschool.ng/classroom/mathematics/23109?exam_type=waec&exam_year=1991&type=obj&page=9,WAEC 1991
44,https://myschool.ng/classroom/mathematics/23110?exam_type=waec&exam_year=1991&type=obj&page=9,WAEC 1991
45,https://myschool.ng/classroom/mathematics/23112?exam_type=waec&exam_year=1991&type=obj&page=9,WAEC 1991
46,https://myschool.ng/classroom/mathematics/23113?exam_type=waec&exam_year=1991&type=obj&page=10,WAEC 1991
47,https://myschool.ng/classroom/mathematics/23115?exam_type=waec&exam_year=1991&type=obj&page=10,WAEC 1991
48,https://myschool.ng/classroom/mathematics/23116?exam_type=waec&exam_year=1991&type=obj&page=10,WAEC 1991
49,https://myschool.ng/classroom/mathematics/23117?exam_type=waec&exam_year=1991&type=obj&page=10,WAEC 1991
50,https://myschool.ng/classroom/mathematics/23119?exam_type=waec&exam_year=1991&type=obj&page=10,WAEC 1991
31,https://myschool.ng/classroom/mathematics/22927?exam_type=waec&exam_year=1991&type=obj&page=7,WAEC 1991
32,https://myschool.ng/classroom/mathematics/22928?exam_type=waec&exam_year=1991&type=obj&page=7,WAEC 1991
33,https://myschool.ng/classroom/mathematics/22929?exam_type=waec&exam_year=1991&type=obj&page=7,WAEC 1991
34,https://myschool.ng/classroom/mathematics/22930?exam_type=waec&exam_year=1991&type=obj&page=7,WAEC 1991
35,https://myschool.ng/classroom/mathematics/22931?exam_type=waec&exam_year=1991&type=obj&page=7,WAEC 1991
36,https://myschool.ng/classroom/mathematics/22932?exam_type=waec&exam_year=1991&type=obj&page=8,WAEC 1991
37,https://myschool.ng/classroom/mathematics/22933?exam_type=waec&exam_year=1991&type=obj&page=8,WAEC 1991
38,https://myschool.ng/classroom/mathematics/22934?exam_type=waec&exam_year=1991&type=obj&page=8,WAEC 1991
39,https://myschool.ng/classroom/mathematics/22935?exam_type=waec&exam_year=1991&type=obj&page=8,WAEC 1991
40,https://myschool.ng/classroom/mathematics/22936?exam_type=waec&exam_year=1991&type=obj&page=8,WAEC 1991
1,https://myschool.ng/classroom/mathematics/22864?exam_type=waec&exam_year=1991&type=obj&page=1,WAEC 1991
2,https://myschool.ng/classroom/mathematics/22865?exam_type=waec&exam_year=1991&type=obj&page=1,WAEC 1991
3,https://myschool.ng/classroom/mathematics/22866?exam_type=waec&exam_year=1991&type=obj&page=1,WAEC 1991
4,https://myschool.ng/classroom/mathematics/22867?exam_type=waec&exam_year=1991&type=obj&page=1,WAEC 1991
5,https://myschool.ng/classroom/mathematics/22868?exam_type=waec&exam_year=1991&type=obj&page=1,WAEC 1991
16,https://myschool.ng/classroom/mathematics/22879?exam_type=waec&exam_year=1991&type=obj&page=4,WAEC 1991
17,https://myschool.ng/classroom/mathematics/22880?exam_type=waec&exam_year=1991&type=obj&page=4,WAEC 1991
18,https://myschool.ng/classroom/mathematics/22911?exam_type=waec&exam_year=1991&type=obj&page=4,WAEC 1991
19,https://myschool.ng/classroom/mathematics/22912?exam_type=waec&exam_year=1991&type=obj&page=4,WAEC 1991
